YEAR,DIST_CODE,REP_DIST,REP_FIRST,REP_LAST,REP_PARTY,REP,All_Towns
2025,BARN01,1st Barnstable,Christopher Richard,Flanagan,(D),Christopher Richard Flanagan (D),"DENNIS,BREWSTER,YARMOUTH"
2025,BARN02,2nd Barnstable,Kip A.,Diggs,(D),Kip A. Diggs (D),"BARNSTABLE,YARMOUTH"
2025,BARN03,3rd Barnstable,David T.,Vieira,(R),David T. Vieira (R),"BOURNE,FALMOUTH,MASHPEE"
2025,BARN04,4th Barnstable,Hadley,Luddy,(D),Hadley Luddy (D),"PROVINCETOWN,TRURO,CHATHAM,HARWICH,EASTHAM,ORLEANS,WELLFLEET"
2025,BARN05,5th Barnstable,Steven G.,Xiarhos,(R),Steven G. Xiarhos (R),"BOURNE,SANDWICH,BARNSTABLE"
2025,BDN,"Barnstable, Dukes and Nantucket",Thomas W.,Moakley,(D),Thomas W. Moakley (D),"OAK BLUFFS,TISBURY,WEST TISBURY,CHILMARK,EDGARTOWN,GOSNOLD,NANTUCKET,FALMOUTH,AQUINNAH"
2025,BERK01,1st Berkshire,John P.,"Barrett, III",(D),"John P. Barrett, III (D)","ADAMS,CHESHIRE,CLARKSBURG,FLORIDA,HANCOCK,HINSDALE,LANESBOROUGH,NEW ASHFORD,NORTH ADAMS,PERU,SAVOY,WILLIAMSTOWN,WINDSOR"
2025,BERK02,2nd Berkshire,Tricia,Farley-Bouvier,(D),Tricia Farley-Bouvier (D),PITTSFIELD
2025,BERK03,3rd Berkshire,Leigh,Davis,(D),Leigh Davis (D),"RICHMOND,DALTON,WASHINGTON,ALFORD,BECKET,EGREMONT,GREAT BARRINGTON,LEE,LENOX,MONTEREY,MOUNT WASHINGTON,NEW MARLBOROUGH,OTIS,SANDISFIELD,SHEFFIELD,STOCKBRIDGE,TYRINGHAM,WEST STOCKBRIDGE"
2025,BRISTOL01,1st Bristol,Michael S.,Chaisson,(R),Michael S. Chaisson (R),"FOXBOROUGH,MANSFIELD,NORTON"
2025,BRISTOL02,2nd Bristol,James K.,Hawkins,(D),James K. Hawkins (D),ATTLEBORO
2025,BRISTOL03,3rd Bristol,Carol A.,Doherty,(D),Carol A. Doherty (D),"EASTON,TAUNTON"
2025,BRISTOL04,4th Bristol,Steven S.,Howitt,(R),Steven S. Howitt (R),"SEEKONK,REHOBOTH,NORTON,SWANSEA"
2025,BRISTOL05,5th Bristol,Justin,Thurber,(R),Justin Thurber (R),"SWANSEA,SOMERSET,DIGHTON,TAUNTON"
2025,BRISTOL06,6th Bristol,Carole A.,Fiola,(D),Carole A. Fiola (D),"FALL RIVER,FREETOWN"
2025,BRISTOL07,7th Bristol,Alan,Silvia,(D),Alan Silvia (D),FALL RIVER
2025,BRISTOL08,8th Bristol,Steven J.,Ouellette,(D),Steven J. Ouellette (D),"ACUSHNET,FALL RIVER,FREETOWN,NEW BEDFORD,WESTPORT"
2025,BRISTOL09,9th Bristol,Christopher M.,Markey,(D),Christopher M. Markey (D),"DARTMOUTH,NEW BEDFORD"
2025,BRISTOL10,10th Bristol,Mark D.,Sylvia,(D),Mark D. Sylvia (D),"FAIRHAVEN,MARION,MATTAPOISETT,NEW BEDFORD,ROCHESTER,ACUSHNET"
2025,BRISTOL11,11th Bristol,Christopher,Hendricks,(D),Christopher Hendricks (D),NEW BEDFORD
2025,BRISTOL12,12th Bristol,Norman J.,Orrall,(R),Norman J. Orrall (R),"MIDDLEBOROUGH,BERKLEY,TAUNTON,LAKEVILLE"
2025,BRISTOL13,13th Bristol,Antonio F. D.,Cabral,(D),Antonio F. D. Cabral (D),NEW BEDFORD
2025,BRISTOL14,14th Bristol,Adam J.,Scanlon,(D),Adam J. Scanlon (D),"ATTLEBORO,NORTH ATTLEBOROUGH,MANSFIELD"
2025,ESSEX01,1st Essex,Dawne F.,Shand,(D),Dawne F. Shand (D),"AMESBURY,NEWBURYPORT,SALISBURY,MERRIMAC"
2025,ESSEX02,2nd Essex,Kristin E.,Kassner,(D),Kristin E. Kassner (D),"GEORGETOWN,HAMILTON,IPSWICH,ROWLEY,NEWBURY,TOPSFIELD"
2025,ESSEX03,3rd Essex,Andres X.,Vargas,(D),Andres X. Vargas (D),HAVERHILL
2025,ESSEX04,4th Essex,Estela,Reyes,(D),Estela Reyes (D),"LAWRENCE,METHUEN"
2025,ESSEX05,5th Essex,Ann-Margaret,Ferrante,(D),Ann-Margaret Ferrante (D),"ESSEX,MANCHESTER,GLOUCESTER,ROCKPORT"
2025,ESSEX06,6th Essex,Open,Open, ,Open,"BEVERLY,WENHAM"
2025,ESSEX07,7th Essex,Manny,Cruz,(D),Manny Cruz (D),SALEM
2025,ESSEX08,8th Essex,Jennifer,Armini,(D),Jennifer Armini (D),"LYNN,SWAMPSCOTT,MARBLEHEAD"
2025,ESSEX09,9th Essex,Donald H.,Wong,(R),Donald H. Wong (R),"WAKEFIELD,SAUGUS,LYNN"
2025,ESSEX10,10th Essex,Daniel H.,Cahill,(D),Daniel H. Cahill (D),LYNN
2025,ESSEX11,11th Essex,Sean,Reid,(D),Sean Reid (D),"LYNN,NAHANT"
2025,ESSEX12,12th Essex,Thomas P.,Walsh,(D),Thomas P. Walsh (D),PEABODY
2025,ESSEX13,13th Essex,Sally P.,Kerans,(D),Sally P. Kerans (D),"DANVERS,MIDDLETON,PEABODY,TOPSFIELD,WENHAM"
2025,ESSEX14,14th Essex,Adrianne,Ramos,(D),Adrianne Ramos (D),"AMESBURY,BOXFORD,GROVELAND,NORTH ANDOVER,WEST NEWBURY"
2025,ESSEX15,15th Essex,Ryan M.,Hamilton,(D),Ryan M. Hamilton (D),"METHUEN,HAVERHILL"
