YEAR,SENDISTNUM,SEN_DIST,SEN_FIRST,SEN_LAST,SEN_PARTY,SENATOR,All_Towns
2025,1,"Berkshire, Hampden, Franklin and Hampshire",Paul W.,Mark,(D),Paul W. Mark (D),"ADAMS,ALFORD,ASHFIELD,BECKET,BLANDFORD,BUCKLAND,CHARLEMONT,CHESHIRE,CHESTER,CHESTERFIELD,CLARKSBURG,COLRAIN,CONWAY,CUMMINGTON,DALTON,EGREMONT,FLORIDA,GOSHEN,GRANVILLE,GREAT BARRINGTON,HANCOCK,HAWLEY,HEATH,HINSDALE,HUNTINGTON,LANESBOROUGH,LEE,LENOX,MIDDLEFIELD,MONROE,MONTEREY,MOUNT WASHINGTON,NEW ASHFORD,NEW MARLBOROUGH,NORTH ADAMS,OTIS,PERU,PITTSFIELD,PLAINFIELD,RICHMOND,ROWE,SANDISFIELD,SAVOY,SHEFFIELD,SHELBURNE,SOUTHWICK,STOCKBRIDGE,TOLLAND,TYRINGHAM,WASHINGTON,WEST STOCKBRIDGE,WESTHAMPTON,WHATELY,WILLIAMSBURG,WILLIAMSTOWN,WINDSOR,WORTHINGTON"
2025,35,Bristol and Norfolk,Paul R.,Feeney,(D),Paul R. Feeney (D),"ATTLEBORO,CANTON,FOXBOROUGH,MANSFIELD,NORTH ATTLEBOROUGH,NORTON,SHARON"
2025,40,Cape and Islands,Julian,Cyr,(D),Julian Cyr (D),"AQUINNAH,BARNSTABLE,BREWSTER,CHATHAM,CHILMARK,DENNIS,EASTHAM,EDGARTOWN,GOSNOLD,HARWICH,NANTUCKET,OAK BLUFFS,ORLEANS,PROVINCETOWN,TISBURY,TRURO,WELLFLEET,WEST TISBURY,YARMOUTH"
2025,23,Fifth Middlesex,Jason M.,Lewis,(D),Jason M. Lewis (D),"MALDEN,MELROSE,READING,STONEHAM,WAKEFIELD,WINCHESTER"
2025,37,First Bristol and Plymouth,Michael J.,Rodrigues,(D),Michael J. Rodrigues (D),"FALL RIVER,FREETOWN,LAKEVILLE,ROCHESTER,SOMERSET,SWANSEA,WESTPORT"
2025,19,First Essex,Pavel M.,Payano,(D),Pavel M. Payano (D),"HAVERHILL,LAWRENCE,METHUEN"
2025,21,First Essex and Middlesex,Bruce E.,Tarr,(R),Bruce E. Tarr (R),"BOXFORD,ESSEX,GEORGETOWN,GLOUCESTER,GROVELAND,HAMILTON,IPSWICH,MANCHESTER,MIDDLETON,NEWBURY,NEWBURYPORT,NORTH ANDOVER,NORTH READING,ROCKPORT,ROWLEY,SALISBURY,TOPSFIELD,WENHAM,WEST NEWBURY"
2025,11,First Middlesex,Edward J.,Kennedy,(D),"Edward J. Kennedy, (D)","DRACUT,DUNSTABLE,LOWELL,PEPPERELL,TYNGSBOROUGH"
2025,31,First Plymouth and Norfolk,Patrick Michael,O'Connor,(R),Patrick Michael O'Connor (R),"COHASSET,DUXBURY,HINGHAM,HULL,MARSHFIELD,NORWELL,SCITUATE,WEYMOUTH"
2025,30,First Suffolk,Nicholas P.,Collins,(D),Nicholas P. Collins (D),BOSTON
2025,9,First Worcester,Robyn,Kennedy,(D),Robyn K. Kennedy (D),"BERLIN,BOLTON,BOYLSTON,NORTHBOROUGH,WEST BOYLSTON,WORCESTER"
2025,16,Fourth Middlesex,Cindy F.,Friedman,(D),Cindy F. Friedman (D),"ARLINGTON,BILLERICA,BURLINGTON,LEXINGTON,WOBURN"
2025,3,Hampden,Adam,Gomez,(D),Adam Gomez (D),"CHICOPEE,SPRINGFIELD"
2025,2,Hampden and Hampshire,John C.,Velis,(D),John C. Velis (D),"AGAWAM,CHICOPEE,EASTHAMPTON,HOLYOKE,MONTGOMERY,RUSSELL,SOUTHAMPTON,WEST SPRINGFIELD,WESTFIELD"
2025,4,"Hampden, Hampshire and Worcester",Jacob R.,Oliveira,(D),Jacob R. Oliveira (D),"BELCHERTOWN,CHICOPEE,EAST LONGMEADOW,GRANBY,HAMPDEN,LONGMEADOW,LUDLOW,PALMER,SOUTH HADLEY,SPRINGFIELD,WARREN,WILBRAHAM"
