OBJECTID,Join_Count,TARGET_FID,SENDISTNUM,SEN_DIST,muni_caps,muni_id,cnty_fips,cnty_nm,municipal
1,1,1,30,First Suffolk,WINTHROP,346,25025,Suffolk,Winthrop
2,1,1,30,First Suffolk,BOSTON,35,25025,Suffolk,Boston
3,1,2,31,First Plymouth and Norfolk,PLYMOUTH,239,25023,Plymouth,Plymouth
4,1,2,31,First Plymouth and Norfolk,HINGHAM,131,25023,Plymouth,Hingham
5,1,2,31,First Plymouth and Norfolk,WEYMOUTH,336,25021,Norfolk,Weymouth
6,1,2,31,First Plymouth and Norfolk,SCITUATE,264,25023,Plymouth,Scituate
7,1,2,31,First Plymouth and Norfolk,NORWELL,219,25023,Plymouth,Norwell
8,1,2,31,First Plymouth and Norfolk,COHASSET,65,25021,Norfolk,Cohasset
9,1,2,31,First Plymouth and Norfolk,BRAINTREE,40,25021,Norfolk,Braintree
10,1,2,31,First Plymouth and Norfolk,BOSTON,35,25025,Suffolk,Boston
11,1,2,31,First Plymouth and Norfolk,HULL,142,25023,Plymouth,Hull
12,1,2,31,First Plymouth and Norfolk,HOLBROOK,133,25021,Norfolk,Holbrook
13,1,2,31,First Plymouth and Norfolk,ABINGTON,1,25023,Plymouth,Abington
14,1,2,31,First Plymouth and Norfolk,ROCKLAND,251,25023,Plymouth,Rockland
15,1,2,31,First Plymouth and Norfolk,KINGSTON,145,25023,Plymouth,Kingston
16,1,2,31,First Plymouth and Norfolk,PEMBROKE,231,25023,Plymouth,Pembroke
17,1,2,31,First Plymouth and Norfolk,MARSHFIELD,171,25023,Plymouth,Marshfield
18,1,2,31,First Plymouth and Norfolk,HANOVER,122,25023,Plymouth,Hanover
19,1,2,31,First Plymouth and Norfolk,DUXBURY,82,25023,Plymouth,Duxbury
20,1,3,32,Norfolk and Plymouth,HINGHAM,131,25023,Plymouth,Hingham
21,1,3,32,Norfolk and Plymouth,QUINCY,243,25021,Norfolk,Quincy
22,1,3,32,Norfolk and Plymouth,WEYMOUTH,336,25021,Norfolk,Weymouth
23,1,3,32,Norfolk and Plymouth,NORWELL,219,25023,Plymouth,Norwell
24,1,3,32,Norfolk and Plymouth,RANDOLPH,244,25021,Norfolk,Randolph
25,1,3,32,Norfolk and Plymouth,MILTON,189,25021,Norfolk,Milton
26,1,3,32,Norfolk and Plymouth,BRAINTREE,40,25021,Norfolk,Braintree
27,1,3,32,Norfolk and Plymouth,HOLBROOK,133,25021,Norfolk,Holbrook
28,1,3,32,Norfolk and Plymouth,AVON,18,25021,Norfolk,Avon
29,1,3,32,Norfolk and Plymouth,ABINGTON,1,25023,Plymouth,Abington
30,1,3,32,Norfolk and Plymouth,WHITMAN,338,25023,Plymouth,Whitman
31,1,3,32,Norfolk and Plymouth,BROCKTON,44,25023,Plymouth,Brockton
32,1,3,32,Norfolk and Plymouth,ROCKLAND,251,25023,Plymouth,Rockland
33,1,3,32,Norfolk and Plymouth,PEMBROKE,231,25023,Plymouth,Pembroke
34,1,3,32,Norfolk and Plymouth,HANOVER,122,25023,Plymouth,Hanover
35,1,3,32,Norfolk and Plymouth,HANSON,123,25023,Plymouth,Hanson
36,1,4,33,Norfolk -  Plymouth and Bristol,QUINCY,243,25021,Norfolk,Quincy
37,1,4,33,Norfolk -  Plymouth and Bristol,DEDHAM,73,25021,Norfolk,Dedham
38,1,4,33,Norfolk -  Plymouth and Bristol,RANDOLPH,244,25021,Norfolk,Randolph
39,1,4,33,Norfolk -  Plymouth and Bristol,MILTON,189,25021,Norfolk,Milton
40,1,4,33,Norfolk -  Plymouth and Bristol,BRAINTREE,40,25021,Norfolk,Braintree
41,1,4,33,Norfolk -  Plymouth and Bristol,BOSTON,35,25025,Suffolk,Boston
42,1,4,33,Norfolk -  Plymouth and Bristol,CANTON,50,25021,Norfolk,Canton
43,1,4,33,Norfolk -  Plymouth and Bristol,EASTON,88,25005,Bristol,Easton
44,1,4,33,Norfolk -  Plymouth and Bristol,EAST BRIDGEWATER,83,25023,Plymouth,East Bridgewater
45,1,4,33,Norfolk -  Plymouth and Bristol,HOLBROOK,133,25021,Norfolk,Holbrook
46,1,4,33,Norfolk -  Plymouth and Bristol,AVON,18,25021,Norfolk,Avon
47,1,4,33,Norfolk -  Plymouth and Bristol,BROCKTON,44,25023,Plymouth,Brockton
48,1,4,33,Norfolk -  Plymouth and Bristol,WEST BRIDGEWATER,322,25023,Plymouth,West Bridgewater
49,1,4,33,Norfolk -  Plymouth and Bristol,STOUGHTON,285,25021,Norfolk,Stoughton
50,1,4,33,Norfolk -  Plymouth and Bristol,SHARON,266,25021,Norfolk,Sharon
51,1,4,33,Norfolk -  Plymouth and Bristol,MIDDLEBOROUGH,182,25023,Plymouth,Middleborough
52,1,4,33,Norfolk -  Plymouth and Bristol,HALIFAX,118,25023,Plymouth,Halifax
53,1,4,33,Norfolk -  Plymouth and Bristol,TAUNTON,293,25005,Bristol,Taunton
54,1,4,33,Norfolk -  Plymouth and Bristol,RAYNHAM,245,25005,Bristol,Raynham
55,1,4,33,Norfolk -  Plymouth and Bristol,BRIDGEWATER,42,25023,Plymouth,Bridgewater
56,1,4,33,Norfolk -  Plymouth and Bristol,NORTON,218,25005,Bristol,Norton
57,1,4,33,Norfolk -  Plymouth and Bristol,MANSFIELD,167,25005,Bristol,Mansfield
58,1,5,37,First Bristol and Plymouth,MARION,169,25023,Plymouth,Marion
59,1,5,37,First Bristol and Plymouth,ROCHESTER,250,25023,Plymouth,Rochester
60,1,5,37,First Bristol and Plymouth,ACUSHNET,3,25005,Bristol,Acushnet
61,1,5,37,First Bristol and Plymouth,WAREHAM,310,25023,Plymouth,Wareham
62,1,5,37,First Bristol and Plymouth,MIDDLEBOROUGH,182,25023,Plymouth,Middleborough
63,1,5,37,First Bristol and Plymouth,MATTAPOISETT,173,25023,Plymouth,Mattapoisett
64,1,5,37,First Bristol and Plymouth,TAUNTON,293,25005,Bristol,Taunton
65,1,5,37,First Bristol and Plymouth,WESTPORT,334,25005,Bristol,Westport
66,1,5,37,First Bristol and Plymouth,SOMERSET,273,25005,Bristol,Somerset
67,1,5,37,First Bristol and Plymouth,DIGHTON,76,25005,Bristol,Dighton
68,1,5,37,First Bristol and Plymouth,FALL RIVER,95,25005,Bristol,Fall River
69,1,5,37,First Bristol and Plymouth,NEW BEDFORD,201,25005,Bristol,New Bedford
70,1,5,37,First Bristol and Plymouth,SEEKONK,265,25005,Bristol,Seekonk
71,1,5,37,First Bristol and Plymouth,LAKEVILLE,146,25023,Plymouth,Lakeville
72,1,5,37,First Bristol and Plymouth,SWANSEA,292,25005,Bristol,Swansea
73,1,5,37,First Bristol and Plymouth,REHOBOTH,247,25005,Bristol,Rehoboth
74,1,5,37,First Bristol and Plymouth,BERKLEY,27,25005,Bristol,Berkley
75,1,5,37,First Bristol and Plymouth,DARTMOUTH,72,25005,Bristol,Dartmouth
76,1,5,37,First Bristol and Plymouth,FREETOWN,102,25005,Bristol,Freetown
77,1,6,38,Second Bristol and Plymouth,MARION,169,25023,Plymouth,Marion
78,1,6,38,Second Bristol and Plymouth,ROCHESTER,250,25023,Plymouth,Rochester
79,1,6,38,Second Bristol and Plymouth,ACUSHNET,3,25005,Bristol,Acushnet
80,1,6,38,Second Bristol and Plymouth,FAIRHAVEN,94,25005,Bristol,Fairhaven
81,1,6,38,Second Bristol and Plymouth,MATTAPOISETT,173,25023,Plymouth,Mattapoisett
82,1,6,38,Second Bristol and Plymouth,WESTPORT,334,25005,Bristol,Westport
83,1,6,38,Second Bristol and Plymouth,FALL RIVER,95,25005,Bristol,Fall River
84,1,6,38,Second Bristol and Plymouth,NEW BEDFORD,201,25005,Bristol,New Bedford
85,1,6,38,Second Bristol and Plymouth,DARTMOUTH,72,25005,Bristol,Dartmouth
86,1,6,38,Second Bristol and Plymouth,FREETOWN,102,25005,Bristol,Freetown
87,1,7,39,Plymouth and Barnstable,SANDWICH,261,25001,Barnstable,Sandwich
