OBJECTID,Join_Count,TARGET_FID,DIST_CODE,REPDISTNUM,REP_DIST,muni_caps,muni_id,cnty_fips,cnty_nm,municipal
1,1,1,HAMPDEN04,47,4th Hampden,SOUTHAMPTON,276,25015,Hampshire,Southampton
2,1,1,HAMPDEN04,47,4th Hampden,HOLYOKE,137,25013,Hampden,Holyoke
3,1,1,HAMPDEN04,47,4th Hampden,MONTGOMERY,194,25013,Hampden,Montgomery
4,1,1,HAMPDEN04,47,4th Hampden,RUSSELL,256,25013,Hampden,Russell
5,1,1,HAMPDEN04,47,4th Hampden,SOUTHWICK,279,25013,Hampden,Southwick
6,1,1,HAMPDEN04,47,4th Hampden,EASTHAMPTON,87,25015,Hampshire,Easthampton
7,1,1,HAMPDEN04,47,4th Hampden,GRANVILLE,112,25013,Hampden,Granville
8,1,1,HAMPDEN04,47,4th Hampden,WEST SPRINGFIELD,325,25013,Hampden,West Springfield
9,1,1,HAMPDEN04,47,4th Hampden,AGAWAM,5,25013,Hampden,Agawam
10,1,1,HAMPDEN04,47,4th Hampden,WESTFIELD,329,25013,Hampden,Westfield
11,1,1,HAMPDEN04,47,4th Hampden,WESTHAMPTON,331,25015,Hampshire,Westhampton
12,1,1,HAMPDEN04,47,4th Hampden,HUNTINGTON,143,25015,Hampshire,Huntington
13,1,2,WOR06,147,6th Worcester,LEICESTER,151,25027,Worcester,Leicester
14,1,2,WOR06,147,6th Worcester,WEBSTER,316,25027,Worcester,Webster
15,1,2,WOR06,147,6th Worcester,DUDLEY,80,25027,Worcester,Dudley
16,1,2,WOR06,147,6th Worcester,OXFORD,226,25027,Worcester,Oxford
17,1,2,WOR06,147,6th Worcester,CHARLTON,54,25027,Worcester,Charlton
18,1,2,WOR06,147,6th Worcester,EAST BROOKFIELD,84,25027,Worcester,East Brookfield
19,1,2,WOR06,147,6th Worcester,STURBRIDGE,287,25027,Worcester,Sturbridge
20,1,2,WOR06,147,6th Worcester,SPENCER,280,25027,Worcester,Spencer
21,1,2,WOR06,147,6th Worcester,SOUTHBRIDGE,278,25027,Worcester,Southbridge
22,1,3,WOR01,142,1st Worcester,HOLDEN,134,25027,Worcester,Holden
23,1,3,WOR01,142,1st Worcester,WESTMINSTER,332,25027,Worcester,Westminster
24,1,3,WOR01,142,1st Worcester,LEOMINSTER,153,25027,Worcester,Leominster
25,1,3,WOR01,142,1st Worcester,PRINCETON,241,25027,Worcester,Princeton
26,1,3,WOR01,142,1st Worcester,GARDNER,103,25027,Worcester,Gardner
27,1,3,WOR01,142,1st Worcester,STERLING,282,25027,Worcester,Sterling
28,1,3,WOR01,142,1st Worcester,RUTLAND,257,25027,Worcester,Rutland
29,1,3,WOR01,142,1st Worcester,ASHBURNHAM,11,25027,Worcester,Ashburnham
30,1,3,WOR01,142,1st Worcester,FITCHBURG,97,25027,Worcester,Fitchburg
31,1,3,WOR01,142,1st Worcester,WEST BOYLSTON,321,25027,Worcester,West Boylston
32,1,3,WOR01,142,1st Worcester,LEICESTER,151,25027,Worcester,Leicester
33,1,3,WOR01,142,1st Worcester,PAXTON,228,25027,Worcester,Paxton
34,1,3,WOR01,142,1st Worcester,WORCESTER,348,25027,Worcester,Worcester
35,1,3,WOR01,142,1st Worcester,BARRE,21,25027,Worcester,Barre
36,1,3,WOR01,142,1st Worcester,OAKHAM,222,25027,Worcester,Oakham
37,1,3,WOR01,142,1st Worcester,HUBBARDSTON,140,25027,Worcester,Hubbardston
38,1,3,WOR01,142,1st Worcester,SPENCER,280,25027,Worcester,Spencer
39,1,4,BRISTOL05,14,5th Bristol,TAUNTON,293,25005,Bristol,Taunton
40,1,4,BRISTOL05,14,5th Bristol,SOMERSET,273,25005,Bristol,Somerset
41,1,4,BRISTOL05,14,5th Bristol,DIGHTON,76,25005,Bristol,Dighton
42,1,4,BRISTOL05,14,5th Bristol,SWANSEA,292,25005,Bristol,Swansea
43,1,4,BRISTOL05,14,5th Bristol,REHOBOTH,247,25005,Bristol,Rehoboth
44,1,4,BRISTOL05,14,5th Bristol,BERKLEY,27,25005,Bristol,Berkley
45,1,5,BRISTOL08,17,8th Bristol,ROCHESTER,250,25023,Plymouth,Rochester
46,1,5,BRISTOL08,17,8th Bristol,ACUSHNET,3,25005,Bristol,Acushnet
47,1,5,BRISTOL08,17,8th Bristol,MATTAPOISETT,173,25023,Plymouth,Mattapoisett
48,1,5,BRISTOL08,17,8th Bristol,WESTPORT,334,25005,Bristol,Westport
49,1,5,BRISTOL08,17,8th Bristol,FALL RIVER,95,25005,Bristol,Fall River
50,1,5,BRISTOL08,17,8th Bristol,NEW BEDFORD,201,25005,Bristol,New Bedford
51,1,5,BRISTOL08,17,8th Bristol,LAKEVILLE,146,25023,Plymouth,Lakeville
52,1,5,BRISTOL08,17,8th Bristol,DARTMOUTH,72,25005,Bristol,Dartmouth
53,1,5,BRISTOL08,17,8th Bristol,FREETOWN,102,25005,Bristol,Freetown
54,1,6,PLY12,122,12th Plymouth,PLYMOUTH,239,25023,Plymouth,Plymouth
55,1,6,PLY12,122,12th Plymouth,EAST BRIDGEWATER,83,25023,Plymouth,East Bridgewater
56,1,6,PLY12,122,12th Plymouth,KINGSTON,145,25023,Plymouth,Kingston
57,1,6,PLY12,122,12th Plymouth,PEMBROKE,231,25023,Plymouth,Pembroke
58,1,6,PLY12,122,12th Plymouth,DUXBURY,82,25023,Plymouth,Duxbury
59,1,6,PLY12,122,12th Plymouth,HANSON,123,25023,Plymouth,Hanson
60,1,6,PLY12,122,12th Plymouth,CARVER,52,25023,Plymouth,Carver
61,1,6,PLY12,122,12th Plymouth,PLYMPTON,240,25023,Plymouth,Plympton
62,1,6,PLY12,122,12th Plymouth,MIDDLEBOROUGH,182,25023,Plymouth,Middleborough
63,1,6,PLY12,122,12th Plymouth,HALIFAX,118,25023,Plymouth,Halifax
64,1,6,PLY12,122,12th Plymouth,BRIDGEWATER,42,25023,Plymouth,Bridgewater
65,1,7,MIDDLE05,63,5th Middlesex,WELLESLEY,317,25021,Norfolk,Wellesley
66,1,7,MIDDLE05,63,5th Middlesex,NATICK,198,25017,Middlesex,Natick
67,1,7,MIDDLE05,63,5th Middlesex,WESTON,333,25017,Middlesex,Weston
68,1,7,MIDDLE05,63,5th Middlesex,FRAMINGHAM,100,25017,Middlesex,Framingham
69,1,7,MIDDLE05,63,5th Middlesex,WAYLAND,315,25017,Middlesex,Wayland
70,1,7,MIDDLE05,63,5th Middlesex,SHERBORN,269,25017,Middlesex,Sherborn
71,1,7,MIDDLE05,63,5th Middlesex,DOVER,78,25021,Norfolk,Dover
72,1,8,SUFFOLK02,124,2nd Suffolk,EVERETT,93,25017,Middlesex,Everett
73,1,8,SUFFOLK02,124,2nd Suffolk,SOMERVILLE,274,25017,Middlesex,Somerville
74,1,8,SUFFOLK02,124,2nd Suffolk,CHELSEA,57,25025,Suffolk,Chelsea
75,1,8,SUFFOLK02,124,2nd Suffolk,CAMBRIDGE,49,25017,Middlesex,Cambridge
76,1,8,SUFFOLK02,124,2nd Suffolk,BROOKLINE,46,25021,Norfolk,Brookline
77,1,8,SUFFOLK02,124,2nd Suffolk,BOSTON,35,25025,Suffolk,Boston
78,1,9,NORFOLK07,102,7th Norfolk,QUINCY,243,25021,Norfolk,Quincy
79,1,9,NORFOLK07,102,7th Norfolk,DEDHAM,73,25021,Norfolk,Dedham
80,1,9,NORFOLK07,102,7th Norfolk,RANDOLPH,244,25021,Norfolk,Randolph
81,1,9,NORFOLK07,102,7th Norfolk,MILTON,189,25021,Norfolk,Milton
82,1,9,NORFOLK07,102,7th Norfolk,BOSTON,35,25025,Suffolk,Boston
83,1,9,NORFOLK07,102,7th Norfolk,CANTON,50,25021,Norfolk,Canton
84,1,9,NORFOLK07,102,7th Norfolk,HOLBROOK,133,25021,Norfolk,Holbrook
85,1,9,NORFOLK07,102,7th Norfolk,AVON,18,25021,Norfolk,Avon
86,1,9,NORFOLK07,102,7th Norfolk,STOUGHTON,285,25021,Norfolk,Stoughton
87,1,10,MIDDLE33,91,33rd Middlesex,EVERETT,93,25017,Middlesex,Everett
88,1,10,MIDDLE33,91,33rd Middlesex,MEDFORD,176,25017,Middlesex,Medford
89,1,10,MIDDLE33,91,33rd Middlesex,MELROSE,178,25017,Middlesex,Melrose
90,1,10,MIDDLE33,91,33rd Middlesex,REVERE,248,25025,Suffolk,Revere
91,1,10,MIDDLE33,91,33rd Middlesex,MALDEN,165,25017,Middlesex,Malden
