"","muni_id","muni"
"1",3,"Acushnet"
"2",104,"Aquinnah"
"3",20,"Barnstable"
"4",27,"Berkley"
"5",36,"Bourne"
"6",41,"Brewster"
"7",55,"Chatham"
"8",62,"Chilmark"
"9",72,"Dartmouth"
"10",75,"Dennis"
"11",76,"Dighton"
"12",86,"Eastham"
"13",89,"Edgartown"
"14",94,"Fairhaven"
"15",95,"Fall River"
"16",96,"Falmouth"
"17",102,"Freetown"
"18",109,"Gosnold"
"19",126,"Harwich"
"20",169,"Marion"
"21",172,"Mashpee"
"22",173,"Mattapoisett"
"23",197,"Nantucket"
"24",201,"New Bedford"
"25",221,"Oak Bluffs"
"26",224,"Orleans"
"27",242,"Provincetown"
"28",247,"Rehoboth"
"29",250,"Rochester"
"30",261,"Sandwich"
"31",265,"Seekonk"
"32",273,"Somerset"
"33",292,"Swansea"
"34",296,"Tisbury"
"35",300,"Truro"
"36",310,"Wareham"
"37",318,"Wellfleet"
"38",327,"West Tisbury"
"39",334,"Westport"
"40",351,"Yarmouth"
