"","muni_id","muni"
"1",4,"Adams"
"2",5,"Agawam"
"3",6,"Alford"
"4",8,"Amherst"
"5",11,"Ashburnham"
"6",12,"Ashby"
"7",13,"Ashfield"
"8",15,"Athol"
"9",17,"Auburn"
"10",21,"Barre"
"11",22,"Becket"
"12",24,"Belchertown"
"13",29,"Bernardston"
"14",33,"Blandford"
"15",39,"Boylston"
"16",43,"Brimfield"
"17",45,"Brookfield"
"18",47,"Buckland"
"19",53,"Charlemont"
"20",54,"Charlton"
"21",58,"Cheshire"
"22",59,"Chester"
"23",60,"Chesterfield"
"24",61,"Chicopee"
"25",63,"Clarksburg"
"26",66,"Colrain"
"27",68,"Conway"
"28",69,"Cummington"
"29",70,"Dalton"
"30",74,"Deerfield"
"31",77,"Douglas"
"32",80,"Dudley"
"33",84,"East Brookfield"
"34",85,"East Longmeadow"
"35",87,"Easthampton"
"36",90,"Egremont"
"37",91,"Erving"
"38",97,"Fitchburg"
"39",98,"Florida"
"40",103,"Gardner"
"41",106,"Gill"
"42",108,"Goshen"
"43",110,"Grafton"
"44",111,"Granby"
"45",112,"Granville"
"46",113,"Great Barrington"
"47",114,"Greenfield"
"48",117,"Hadley"
"49",120,"Hampden"
"50",121,"Hancock"
"51",124,"Hardwick"
"52",127,"Hatfield"
"53",129,"Hawley"
"54",130,"Heath"
"55",132,"Hinsdale"
"56",134,"Holden"
"57",135,"Holland"
"58",137,"Holyoke"
"59",140,"Hubbardston"
"60",143,"Huntington"
"61",148,"Lanesborough"
"62",150,"Lee"
"63",151,"Leicester"
"64",152,"Lenox"
"65",153,"Leominster"
"66",154,"Leverett"
"67",156,"Leyden"
"68",159,"Longmeadow"
"69",161,"Ludlow"
"70",162,"Lunenburg"
"71",183,"Middlefield"
"72",186,"Millbury"
"73",190,"Monroe"
"74",191,"Monson"
"75",192,"Montague"
"76",193,"Monterey"
"77",194,"Montgomery"
"78",195,"Mount Washington"
"79",200,"New Ashford"
"80",202,"New Braintree"
"81",203,"New Marlborough"
"82",204,"New Salem"
"83",209,"North Adams"
"84",212,"North Brookfield"
"85",214,"Northampton"
"86",217,"Northfield"
"87",222,"Oakham"
"88",223,"Orange"
"89",225,"Otis"
"90",226,"Oxford"
"91",227,"Palmer"
"92",228,"Paxton"
"93",230,"Pelham"
"94",233,"Peru"
"95",234,"Petersham"
"96",235,"Phillipston"
"97",236,"Pittsfield"
"98",237,"Plainfield"
"99",241,"Princeton"
"100",249,"Richmond"
"101",253,"Rowe"
"102",255,"Royalston"
"103",256,"Russell"
"104",257,"Rutland"
"105",260,"Sandisfield"
"106",263,"Savoy"
"107",267,"Sheffield"
"108",268,"Shelburne"
"109",271,"Shrewsbury"
"110",272,"Shutesbury"
"111",275,"South Hadley"
"112",276,"Southampton"
"113",278,"Southbridge"
"114",279,"Southwick"
"115",280,"Spencer"
"116",281,"Springfield"
"117",282,"Sterling"
"118",283,"Stockbridge"
"119",287,"Sturbridge"
"120",289,"Sunderland"
"121",290,"Sutton"
"122",294,"Templeton"
"123",297,"Tolland"
"124",299,"Townsend"
"125",302,"Tyringham"
"126",306,"Wales"
"127",309,"Ware"
"128",311,"Warren"
"129",312,"Warwick"
"130",313,"Washington"
"131",316,"Webster"
"132",319,"Wendell"
"133",321,"West Boylston"
"134",323,"West Brookfield"
"135",325,"West Springfield"
"136",326,"West Stockbridge"
"137",329,"Westfield"
"138",331,"Westhampton"
"139",332,"Westminster"
"140",337,"Whately"
"141",339,"Wilbraham"
"142",340,"Williamsburg"
"143",341,"Williamstown"
"144",343,"Winchendon"
"145",345,"Windsor"
"146",348,"Worcester"
"147",349,"Worthington"
